Date,New confirmed cases,Adjusted daily cases,Cumulative confirmed cases,Adjusted cumulative cases,tspan
2020-09-01,80,1.002586674,22434,281.1503679,1
2020-09-02,74,0.927392673,22508,282.0777606,2
2020-09-03,85,1.065248341,22593,283.143009,3
2020-09-04,0,0,22529,282.3409396,4
2020-09-05,94,1.178039342,22623,283.518979,5
2020-09-06,74,0.927392673,22697,284.4463716,6
2020-09-07,59,0.739407672,22756,285.1857793,7
2020-09-08,32,0.401034669,22788,285.586814,8
2020-09-09,43,0.538890337,22831,286.1257043,9
2020-09-10,89,1.115377674,22920,287.241082,10
2020-09-11,108,1.353492009,23028,288.594574,11
2020-09-12,102,1.278298009,23130,289.872872,12
2020-09-13,64,0.802069339,23194,290.6749413,13
2020-09-14,42,0.526358004,23236,291.2012994,14
2020-09-15,70,0.877263339,23306,292.0785627,15
2020-09-16,65,0.814601672,23371,292.8931644,16
2020-09-17,93,1.165507008,23464,294.0586714,17
2020-09-18,88,1.102845341,23552,295.1615167,18
2020-09-19,122,1.528944677,23674,296.6904614,19
2020-09-20,67,0.839666339,23741,297.5301277,20
2020-09-21,57,0.714343005,23798,298.2444707,21
2020-09-22,24,0.300776002,23822,298.5452467,22
2020-09-23,69,0.864731006,23891,299.4099777,23
2020-09-24,97,1.215636342,23988,300.6256141,24
2020-09-25,101,1.265765675,24089,301.8913798,25
2020-09-26,88,1.102845341,24177,302.9942251,26
2020-09-27,104,1.303362676,24281,304.2975878,27
2020-09-28,79,0.99005434,24360,305.2876421,28
2020-09-29,66,0.827134006,24426,306.1147761,29
2020-09-30,53,0.664213671,24479,306.7789898,30
2020-10-01,143,1.792123679,24622,308.5711135,31
2020-10-02,142,1.779591346,24764,310.3507048,32
2020-10-03,107,1.340959676,24871,311.6916645,33
2020-10-04,116,1.453750677,24987,313.1454152,34
2020-10-05,65,0.814601672,25052,313.9600168,35
2020-10-06,65,0.814601672,25117,314.7746185,36
2020-10-07,83,1.040183674,25200,315.8148022,37
2020-10-08,73,0.91486034,25273,316.7296625,38
2020-10-09,109,1.366024343,25382,318.0956869,39
2020-10-10,115,1.441218343,25497,319.5369052,40
2020-10-11,65,0.814601672,25562,320.3515069,41
2020-10-12,140,1.754526679,25702,322.1060336,42
2020-10-13,122,1.528944677,25824,323.6349782,43
2020-10-14,72,0.902328006,25896,324.5373063,44
2020-10-15,116,1.453750677,26012,325.9910569,45
2020-10-16,148,1.854785346,26160,327.8458423,46
2020-10-17,90,1.127910008,26250,328.9737523,47
2020-10-18,133,1.666800345,26383,330.6405526,48
2020-10-19,163,2.042770347,26546,332.683323,49
2020-10-20,117,1.46628301,26663,334.149606,50
2020-10-21,124,1.554009344,26787,335.7036153,51
2020-10-22,167,2.092899681,26954,337.796515,52
2020-10-23,226,2.832307353,27180,340.6288224,53
2020-10-24,166,2.080367348,27346,342.7091897,54
2020-10-25,225,2.81977502,27571,345.5289647,55
2020-10-26,252,3.158148022,27823,348.6871128,56
2020-10-27,169,2.117964348,27992,350.8050771,57
2020-10-28,160,2.005173347,28152,352.8102504,58
2020-10-29,248,3.108018688,28400,355.9182691,59
2020-10-30,260,3.258406689,28660,359.1766758,60
2020-10-31,191,2.393675683,28851,361.5703515,61
2020-11-01,180,2.255820016,29031,363.8261715,62
2020-11-02,135,1.691865012,29166,365.5180365,63
2020-11-03,103,1.290830342,29269,366.8088669,64
2020-11-04,205,2.569128351,29474,369.3779952,65
2020-11-05,252,3.158148022,29726,372.5361432,66
2020-11-06,336,4.210864029,30062,376.7470073,67
2020-11-07,297,3.722103026,30359,380.4691103,68
2020-11-08,318,3.985282028,30677,384.4543923,69
2020-11-09,180,2.255820016,30857,386.7102123,70
2020-11-10,301,3.772232359,31158,390.4824447,71
2020-11-11,296,3.709570692,31454,394.1920154,72
2020-11-12,337,4.223396363,31791,398.4154118,73
2020-11-13,397,4.975336368,32188,403.3907481,74
2020-11-14,373,4.674560366,32561,408.0653085,75
2020-11-15,231,2.89496902,32792,410.9602775,76
2020-11-16,314,3.935152694,33106,414.8954302,77
2020-11-17,260,3.258406689,33366,418.1538369,78
2020-11-18,329,4.123137695,33695,422.2769746,79
2020-11-19,299,3.747167693,33994,426.0241423,80
2020-11-20,276,3.458924024,34270,429.4830663,81
2020-11-21,314,3.935152694,34584,433.418219,82
2020-11-22,286,3.584247358,34870,437.0024664,83
2020-11-23,254,3.183212689,35124,440.1856791,84
2020-11-24,238,2.982695354,35362,443.1683744,85
2020-11-25,325,4.073008362,35687,447.2413828,86
2020-11-28,240,3.007760021,36516,457.6306872,87
2020-11-29,320,4.010346694,36836,461.6410339,88
2020-11-30,123,1.541477011,36959,463.1825109,89
2020-12-01,359,4.499107698,37318,467.6816186,90
2020-12-02,503,6.30376371,37821,473.9853823,91
2020-12-03,827,10.36423974,38648,484.349622,92
2020-12-04,712,8.923021395,39360,493.2726434,93
2020-12-05,685,8.584648393,40045,501.8572918,94
2020-12-06,601,7.531932386,40646,509.3892242,95
2020-12-07,336,4.210864029,40982,513.6000882,96
2020-12-08,505,6.328828377,41487,519.9289166,97
2020-12-09,549,6.880251048,42036,526.8091677,98
2020-12-10,631,7.907902388,42667,534.71707,99
